"ชื่อลูกค้า"	"Person  Contact"	"Activity"	"ประเภทลูกค้า"	"Sale"	"Date"	"Time"	"Duration"	"Visiting  Objective"	"Location"	"Visiting  Detail"
"image"	"1234"	"Take Order"	"Customer"	"พภัสสรณ์ แพร"	"09:01:2018"	"07:27"	""	""	"อ. เขตวังทองหลาง จ. กรุงเทพมหานคร  "	"test"
"dd cosmo"	"dd"	"Follow Up"	"Postpect"	"พภัสสรณ์ แพร"	"08:01:2018"	"15:44"	""	""	"อ. เขตวังทองหลาง จ. กรุงเทพมหานคร  "	"test"
"V. Cargo "	"Marutpong"	"Other"	"Target"	"พภัสสรณ์ แพร"	"03:01:2018"	"17:21"	""	""	"อ. เขตบางเขน จ. กรุงเทพมหานคร  "	"test"
"tcx"	"k er"	"Follow Up"	"Target"	"พภัสสรณ์ แพร"	"03:01:2018"	"11:13"	""	""	"อ. เขตวังทองหลาง จ. กรุงเทพมหานคร  "	"test"
"toyota libra"	"fm😎"	"Product Present"	"Customer"	"onelink.test onelink.test"	"20:12:2560"	"02:12"	""	""	"อ. เขตลาดพร้าว จ. กรุงเทพมหานคร  "	"1233"
"Onelink tech"	"loylum.bunn"	"Follow Up"	"Target"	"onelink.test onelink.test"	"19:12:2017"	"16:01"	""	""	"อ. เขตวังทองหลาง จ. กรุงเทพมหานคร  "	"1234"
"Onelink tech"	"loylum.bunn"	"Follow Up"	"Target"	"onelink.test onelink.test"	"19:12:2017"	"16:00"	""	""	"อ. เขตวังทองหลาง จ. กรุงเทพมหานคร  "	"loy"
"toyota libra"	"fm😎"	"Product Present"	"Customer"	"onelink.test onelink.test"	"19:12:2560"	"03:56"	""	""	"อ. เขตลาดพร้าว จ. กรุงเทพมหานคร  "	"1233"
"central east view "	"subject "	"Product Present"	"Postpect"	"onelink.test onelink.test"	"19:12:2560"	"03:55"	""	""	"อ. เขตลาดพร้าว จ. กรุงเทพมหานคร  "	"1234"
"central east view "	"subject "	"Take Order"	"Postpect"	"loylum bunnag"	"19:12:2560"	"03:48"	""	""	"อ. เขตลาดพร้าว จ. กรุงเทพมหานคร  "	"1234"
"toyota libra"	"fm😎"	"Product Present"	"Customer"	"kokkai kokkai"	"19:12:2560"	"03:45"	""	""	"อ. เขตลาดพร้าว จ. กรุงเทพมหานคร  "	"1234"
"toyota libra"	"fm😎"	"Product Present"	"Customer"	"kokkai kokkai"	"19:12:2560"	"03:40"	""	""	"อ. เขตลาดพร้าว จ. กรุงเทพมหานคร  "	"1234"
"sizler central"	"<span class=""not-set"">(ไม่ได้ตั้ง)</span>"	"Product Present"	"Target"	"Pornchai Yeeha"	"11:12:2017"	"08:11"	""	""	"-"	"123"
"sizler central"	"<span class=""not-set"">(ไม่ได้ตั้ง)</span>"	"Product Present"	"Target"	"Pornchai Yeeha"	"11:12:2017"	"08:07"	""	""	"-"	"12312"
